algorithm,fixed_spatial_folds,fixed_block_size_m,search_runtime_minutes,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,split5_test_RMSE,split6_test_RMSE,split7_test_RMSE,split8_test_RMSE,split9_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,split5_test_MAE,split6_test_MAE,split7_test_MAE,split8_test_MAE,split9_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_CV_RMSE,std_CV_RMSE,mean_CV_MAE,std_CV_MAE,mean_CV_R2,std_CV_R2
RF,10,20000,61.316133026281996,1.3660484313964845,0.3713141729072996,0.13294739723205568,0.009885724465569023,True,20,0.5,5,500,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 500}",0.023801345068800606,0.274621065358826,0.14442995145310578,0.5911805017069506,0.06756894545429482,0.3416148842806802,0.38330343320212235,0.45057137700730265,0.5413814946653361,0.30798739152769916,0.31264603897251186,0.18111176343074006,10,-27.448424398756487,-18.485589307978437,-19.42584639502515,-14.394887403090086,-18.383184140360175,-16.47563165099903,-20.501258222128744,-15.053803972161221,-13.99330265821873,-26.49627493108096,-19.0658203079799,4.458989460122685,10,-17.25553977175695,-13.935325684657906,-12.846364995966907,-10.694911756699213,-13.744837749148168,-11.761959057434083,-13.603978088027858,-11.444480751738274,-9.618704917786136,-18.637149691967846,-13.354325246518334,2.667369415721488,7,19.0658203079799,4.458989460122685,13.354325246518334,2.667369415721488,0.31264603897251186,0.18111176343074006
RF,10,20000,61.316133026281996,1.384198832511902,0.3944987425818048,0.13673558235168456,0.008085312971742429,True,40,0.5,5,500,"{'bootstrap': True, 'max_depth': 40, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 500}",0.023801345068800606,0.274621065358826,0.14442995145310578,0.5911805017069506,0.0675689454542947,0.3416148842806802,0.38330343320212235,0.45057137700730265,0.5413814946653361,0.30798739152769916,0.31264603897251186,0.18111176343074006,10,-27.448424398756487,-18.485589307978437,-19.42584639502515,-14.394887403090086,-18.383184140360175,-16.47563165099903,-20.501258222128744,-15.053803972161221,-13.99330265821873,-26.49627493108096,-19.0658203079799,4.458989460122685,10,-17.25553977175695,-13.935325684657906,-12.846364995966907,-10.694911756699213,-13.744837749148168,-11.761959057434083,-13.603978088027858,-11.444480751738274,-9.618704917786136,-18.637149691967846,-13.354325246518334,2.667369415721488,7,19.0658203079799,4.458989460122685,13.354325246518334,2.667369415721488,0.31264603897251186,0.18111176343074006
RF,10,20000,61.316133026281996,5.421849942207336,1.0066528490682327,0.5012434482574463,0.010593963812120258,True,,0.5,5,2000,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 2000}",0.01078059652309582,0.26319264342961257,0.13688869824578453,0.5930997425018099,0.05019525264000502,0.33545718748613906,0.3995472598758427,0.4511592051875809,0.5452931052415853,0.3135456890547501,0.3099159380186206,0.18796348628728454,16,-27.630874531355808,-18.630641421443265,-19.51127121106891,-14.36105859078437,-18.55365773696479,-16.552498390188564,-20.22945422381161,-15.045748860023501,-13.933499615372451,-26.389650354731245,-19.08383549357445,4.471608396427395,13,-17.372185151994284,-14.08539569948849,-12.860695402734363,-10.749623078438262,-13.79884175632952,-11.74905445845784,-13.398555953924483,-11.4434858464048,-9.590010003086224,-18.52025941699753,-13.35681067678558,2.6644031632869525,10,19.08383549357445,4.471608396427395,13.35681067678558,2.6644031632869525,0.3099159380186206,0.18796348628728454
RF,10,20000,61.316133026281996,5.428893256187439,1.063120037837295,0.49419598579406737,0.01906981188511632,True,20,0.5,5,2000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 2000}",0.01078059652309582,0.2631926434296127,0.13688869824578465,0.59309974250181,0.05019525264000502,0.33545718748613906,0.3995472598758427,0.4511592051875809,0.5452931052415853,0.3135456890547501,0.3099159380186206,0.18796348628728454,16,-27.630874531355808,-18.630641421443265,-19.51127121106891,-14.36105859078437,-18.55365773696479,-16.552498390188564,-20.22945422381161,-15.045748860023501,-13.933499615372451,-26.389650354731245,-19.08383549357445,4.471608396427395,13,-17.372185151994284,-14.08539569948849,-12.860695402734365,-10.74962307843826,-13.79884175632952,-11.74905445845784,-13.398555953924483,-11.4434858464048,-9.590010003086224,-18.52025941699753,-13.35681067678558,2.6644031632869525,10,19.08383549357445,4.471608396427395,13.35681067678558,2.6644031632869525,0.3099159380186206,0.18796348628728454
RF,10,20000,61.316133026281996,5.537473177909851,1.0874988614509478,0.5021167278289795,0.024169936577850864,True,40,0.5,5,2000,"{'bootstrap': True, 'max_depth': 40, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 2000}",0.01078059652309582,0.26319264342961257,0.13688869824578465,0.59309974250181,0.05019525264000502,0.3354571874861392,0.3995472598758427,0.4511592051875809,0.5452931052415853,0.3135456890547501,0.3099159380186206,0.18796348628728454,16,-27.630874531355808,-18.630641421443265,-19.51127121106891,-14.36105859078437,-18.55365773696479,-16.552498390188564,-20.22945422381161,-15.045748860023501,-13.933499615372451,-26.389650354731245,-19.08383549357445,4.471608396427395,13,-17.372185151994284,-14.08539569948849,-12.860695402734365,-10.74962307843826,-13.79884175632952,-11.74905445845784,-13.39855595392448,-11.4434858464048,-9.590010003086222,-18.52025941699753,-13.35681067678558,2.6644031632869525,10,19.08383549357445,4.471608396427395,13.35681067678558,2.6644031632869525,0.3099159380186206,0.18796348628728454
RF,10,20000,61.316133026281996,1.1324917316436767,0.29405384955739927,0.13265013694763184,0.006223559266092821,True,,sqrt,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",0.009948783070859779,0.2936105845127681,0.1357125736121394,0.5469038124076858,0.12079417007741056,0.33892571522078874,0.3705548856377595,0.4508486513679578,0.5454203914415283,0.3202662984965705,0.3132985865845469,0.17098508699653348,7,-27.642489196135593,-18.242019770424708,-19.52456027038481,-15.154362643935421,-17.85079869454537,-16.5092446598185,-20.71207852450933,-15.050004970392413,-13.931549275084251,-26.260151014368244,-19.087725901959864,4.4126122678303545,16,-17.070616854523216,-14.015798233454456,-12.992788503569393,-11.282210242324279,-13.359421205145336,-11.877495691699123,-13.825500290591322,-11.426776885569916,-9.521083881301319,-18.598326023344683,-13.397001781152303,2.587784959947376,25,19.087725901959864,4.4126122678303545,13.397001781152303,2.587784959947376,0.3132985865845469,0.17098508699653348
RF,10,20000,61.316133026281996,1.1530826330184936,0.28059863356916465,0.1282041311264038,0.006634319241425298,True,20,sqrt,5,500,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",0.009948783070859779,0.2936105845127681,0.1357125736121394,0.5469038124076858,0.12079417007741022,0.33892571522078896,0.3705548856377595,0.4508486513679578,0.5454203914415283,0.3202662984965705,0.3132985865845469,0.17098508699653353,7,-27.642489196135593,-18.242019770424708,-19.52456027038481,-15.154362643935421,-17.850798694545375,-16.509244659818496,-20.71207852450933,-15.050004970392413,-13.931549275084251,-26.260151014368244,-19.087725901959864,4.412612267830355,16,-17.070616854523216,-14.015798233454452,-12.992788503569393,-11.282210242324282,-13.359421205145336,-11.877495691699123,-13.825500290591322,-11.426776885569916,-9.52108388130132,-18.598326023344683,-13.397001781152303,2.5877849599473755,25,19.087725901959864,4.412612267830355,13.397001781152303,2.5877849599473755,0.3132985865845469,0.17098508699653353
RF,10,20000,61.316133026281996,1.1583121299743653,0.3056457952242319,0.1321967601776123,0.005813164422964179,True,40,sqrt,5,500,"{'bootstrap': True, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",0.009948783070859779,0.2936105845127682,0.1357125736121394,0.5469038124076858,0.12079417007741022,0.33892571522078874,0.3705548856377596,0.4508486513679578,0.5454203914415283,0.3202662984965705,0.3132985865845469,0.17098508699653353,7,-27.642489196135593,-18.242019770424708,-19.52456027038481,-15.154362643935421,-17.850798694545375,-16.5092446598185,-20.71207852450933,-15.050004970392413,-13.931549275084251,-26.260151014368244,-19.087725901959864,4.4126122678303545,16,-17.070616854523216,-14.015798233454452,-12.992788503569393,-11.282210242324279,-13.359421205145336,-11.877495691699123,-13.825500290591325,-11.426776885569916,-9.521083881301319,-18.598326023344683,-13.397001781152307,2.587784959947376,27,19.087725901959864,4.4126122678303545,13.397001781152307,2.587784959947376,0.3132985865845469,0.17098508699653353
RF,10,20000,61.316133026281996,2.128667688369751,0.6086900280103862,0.13611922264099122,0.008315713008330953,True,,1.0,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 5, 'n_estimators': 500}",-0.00991850703178998,0.24889235670622867,0.12180652642755574,0.6279324783318887,-0.02840196231505443,0.3598915645494808,0.4072387144266797,0.4824613044282191,0.5215260325629184,0.29210943685954416,0.30235379449456706,0.21053784814592755,23,-27.91846156391627,-18.81056850129605,-19.681004773895072,-13.732618410401493,-19.306067539147186,-16.245341563123027,-20.09947279350167,-14.610397424379281,-14.293006695042429,-26.798524272311298,-19.14954635370138,4.676455009832511,19,-17.88920436123459,-14.060079648887559,-12.723358027249413,-10.21695868666927,-14.490070314914323,-11.345596273283585,-12.957059048357833,-11.228257902454652,-9.890292373044007,-18.643056357418704,-13.344393299351392,2.8509035801368094,4,19.14954635370138,4.676455009832511,13.344393299351392,2.8509035801368094,0.30235379449456706,0.21053784814592755
RF,10,20000,61.316133026281996,2.068663215637207,0.618635224993268,0.13199994564056397,0.006920501509556697,True,20,1.0,5,500,"{'bootstrap': True, 'max_depth': 20, 'max_features': 1.0, 'min_samples_leaf': 5, 'n_estimators': 500}",-0.00991850703178998,0.24889235670622867,0.12180652642755563,0.6279324783318887,-0.02840196231505443,0.3598915645494808,0.4072387144266797,0.4824613044282191,0.5215260325629183,0.29210943685954416,0.302353794494567,0.21053784814592755,24,-27.91846156391627,-18.81056850129605,-19.681004773895076,-13.732618410401495,-19.306067539147186,-16.245341563123027,-20.09947279350167,-14.61039742437928,-14.293006695042429,-26.798524272311298,-19.14954635370138,4.676455009832511,19,-17.889204361234587,-14.060079648887559,-12.723358027249413,-10.216958686669273,-14.490070314914323,-11.345596273283585,-12.957059048357833,-11.228257902454652,-9.890292373044007,-18.643056357418704,-13.344393299351392,2.850903580136808,4,19.14954635370138,4.676455009832511,13.344393299351392,2.850903580136808,0.302353794494567,0.21053784814592755
