algorithm,fixed_spatial_folds,fixed_block_size_m,search_runtime_minutes,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_max_depth,param_min_samples_leaf,param_n_estimators,param_subsample,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,split5_test_RMSE,split6_test_RMSE,split7_test_RMSE,split8_test_RMSE,split9_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,split5_test_MAE,split6_test_MAE,split7_test_MAE,split8_test_MAE,split9_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_CV_RMSE,std_CV_RMSE,mean_CV_MAE,std_CV_MAE,mean_CV_R2,std_CV_R2
GTB,10,20000,56.457966383298235,1.1152674436569214,0.16566562079266534,0.003641629219055176,0.0005657598678457523,0.05,huber,5,1,100,0.7,"{'learning_rate': 0.05, 'loss': 'huber', 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",-0.031818345023306494,0.2229327027796183,-0.07939014608441508,0.5827848540907741,-0.07608266552903342,0.38995165793471653,0.4089407613158297,0.52576754904937,0.5337454126109087,0.28621472991223473,0.2763046511056697,0.2452606252124891,27,-28.219540646416977,-19.132871140331915,-21.819328887902337,-14.541945233020051,-19.748548939861763,-15.859306677689716,-20.070595369311977,-13.985765768593522,-14.109317260945648,-26.9098705445713,-19.43970904686452,4.838438186169276,11,-17.00276144809011,-13.920431604315546,-14.291931080522719,-10.517066763077322,-15.591519710994303,-10.395202467368156,-12.46475957258937,-10.347974832415142,-9.590408337340762,-17.47859621222181,-13.160065202893524,2.7740030997444807,32,19.43970904686452,4.838438186169276,13.160065202893524,2.7740030997444807,0.2763046511056697,0.2452606252124891
GTB,10,20000,56.457966383298235,0.48500428199768064,0.012479594893306991,0.003183293342590332,3.999880081960856e-05,0.05,huber,3,5,100,0.7,"{'learning_rate': 0.05, 'loss': 'huber', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.022011055949762603,0.08755000354006981,0.08704071222981602,0.5914071924511983,0.032230186175173925,0.5147841413308782,0.3020723487243774,0.4381119798572387,0.5535356660708965,0.25870151321259227,0.2843422687642479,0.21898454257968944,11,-28.085109051632656,-20.732676315281875,-20.06678833027945,-14.390895861299736,-18.728302206927975,-14.143912635875823,-21.80971311824639,-15.223534734719381,-13.806634421913055,-27.423594246996075,-19.44111609231724,4.997169057363936,12,-17.063006904583087,-14.736900038274038,-13.166778863971278,-10.597623983813836,-13.98478353920647,-9.255736871854786,-14.434347034779387,-10.634574758325597,-9.331384543780324,-17.814519669190986,-13.10196562077798,2.906894127358361,17,19.44111609231724,4.997169057363936,13.10196562077798,2.906894127358361,0.2843422687642479,0.21898454257968944
GTB,10,20000,56.457966383298235,1.2209951877593994,0.19020721782339325,0.003774595260620117,0.0005698540091082216,0.03,huber,5,1,100,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",-0.01366541537656496,0.2587912812263572,0.08787198492649329,0.5340853063234254,-0.05391624539042006,0.40970285480280777,0.3581343403465752,0.4941736295681941,0.5086873805366633,0.2547484732781985,0.283861359024173,0.2052428726929813,12,-27.9702038920072,-18.686204185835678,-20.05765058869834,-15.367232968970816,-19.54408857833024,-15.600460319251422,-20.91543112639492,-14.444128703498466,-14.483495869165614,-27.49661640155833,-19.4565512633711,4.708113190198319,13,-16.50545683825407,-13.303157241601651,-13.422254737925005,-11.335582304356508,-15.222357902973394,-10.839744081242833,-13.756370567546433,-10.691218635219666,-9.421855241340813,-18.394789452872896,-13.289278700333327,2.681546510627657,52,19.4565512633711,4.708113190198319,13.289278700333327,2.681546510627657,0.283861359024173,0.2052428726929813
GTB,10,20000,56.457966383298235,1.696567678451538,0.2596302476400539,0.0039953947067260746,0.0007164662326251972,0.03,huber,3,1,300,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 300, 'subsample': 0.7}",-0.00042124709173596564,0.11411888956389293,0.11630412095594,0.5952643414347316,0.02396864786870001,0.3810361569635222,0.29277572645851735,0.4743292209980855,0.5536664886809597,0.27647021985248244,0.2827512565685096,0.205148263524819,17,-27.786879066280594,-20.428597474740823,-19.742565108327792,-14.322809186858423,-18.808071061775806,-15.974773599425422,-21.95448881808973,-14.724736580178375,-13.804611469408625,-27.092933022614176,-19.464046538769974,4.777107904171065,14,-16.260231300113666,-14.513320124767146,-12.898023030100266,-10.436362313116367,-13.750057797138343,-10.116810220288594,-14.335815296892397,-10.222438049836441,-9.514550051407793,-17.747593778261063,-12.979520196192208,2.6937022872886134,4,19.464046538769974,4.777107904171065,12.979520196192208,2.6937022872886134,0.2827512565685096,0.205148263524819
GTB,10,20000,56.457966383298235,0.2087700843811035,0.0063398574083527405,0.0035106658935546873,0.000487090216741469,0.05,squared_error,2,5,100,0.7,"{'learning_rate': 0.05, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.08779306204193937,0.23858769237395372,-0.012257411738807678,0.6190278688058901,0.021996404825550986,0.39846366285839363,0.34607108173215595,0.38106743319554415,0.5789678898335822,0.2950855580553644,0.2779217117899688,0.2284921650914401,23,-28.974867579715227,-18.939162779760345,-21.129909975605685,-13.895976641631947,-18.827063980062764,-15.748275554507824,-21.111059127280683,-15.97762719387729,-13.407631018677913,-26.74213161478899,-19.475370546590863,4.931932717504848,15,-18.209699590630336,-13.847054583498757,-14.423404964570528,-10.330529689316785,-14.545953242048823,-10.210479493212787,-14.535648438038484,-11.537217126985027,-9.741405465950356,-18.500748049494305,-13.58821406437462,2.984906702966099,93,19.475370546590863,4.931932717504848,13.58821406437462,2.984906702966099,0.2779217117899688,0.2284921650914401
GTB,10,20000,56.457966383298235,0.4104994058609009,0.06460453623474355,0.003578495979309082,0.0005681034185670243,0.05,huber,2,1,100,0.7,"{'learning_rate': 0.05, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",-0.003930481922904461,0.11006525814901835,0.09614844300076253,0.5454774524504014,0.10689009747249145,0.47908051154494125,0.3486426647493478,0.4265104258066146,0.48755790105109,0.23751849203321473,0.28339607643349773,0.1882341212437272,15,-27.835571216137012,-20.475282909578294,-19.966443764523575,-15.178197087651357,-17.991394445852805,-14.65505235987445,-21.06950849564054,-15.37989532261012,-14.791657455185549,-27.81265671896184,-19.515565977601554,4.751661083513634,16,-17.072790300822568,-14.65245623525127,-13.342476073466937,-11.347876220040893,-13.372715615195276,-9.943767459955131,-13.536836509657125,-11.055033898146853,-9.382113309418036,-18.46873345295155,-13.217479907490562,2.797119423923432,36,19.515565977601554,4.751661083513634,13.217479907490562,2.797119423923432,0.28339607643349773,0.1882341212437272
GTB,10,20000,56.457966383298235,1.1104441165924073,0.1815379706723787,0.0039683103561401365,0.0012056686485122385,0.03,huber,2,5,300,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 300, 'subsample': 0.7}",-0.024444304876087175,0.058519390854516073,0.03864401637721082,0.6088313834381557,0.09935011670089422,0.4745212496292276,0.3621836580622877,0.4071814325425176,0.5306181617012817,0.23400650923147048,0.2789411613661475,0.2159718974005081,20,-28.11852230769807,-21.059910457471585,-20.591798553411707,-14.080707396842767,-18.067180000055277,-14.719045606814221,-20.849352482913094,-15.636930823726205,-14.15655501229166,-27.87663555243936,-19.51566381936639,4.976399616308506,17,-16.719586680978182,-14.987280588635281,-12.897528064886556,-10.063212065887582,-13.27431666315722,-9.795777397256643,-13.911461429762378,-10.87205806890519,-9.573950566336851,-18.03121430188891,-13.012638582769478,2.8137227784214107,6,19.51566381936639,4.976399616308506,13.012638582769478,2.8137227784214107,0.2789411613661475,0.2159718974005081
GTB,10,20000,56.457966383298235,0.42799508571624756,0.061197548073379765,0.0034644365310668944,0.000607263189502484,0.03,huber,2,5,100,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 1.0}",-0.0017710673437489888,0.15483462978355644,0.15818506308167857,0.5604985769717461,0.10282619583913277,0.46472580796298324,0.32874837487996966,0.42263638181251195,0.44432963482459364,0.22022056817693691,0.28552341659893604,0.17523928935968547,10,-27.80561849681785,-19.953619094473964,-19.269057726349356,-14.92528437178618,-18.032280943701352,-14.855600920251565,-21.3888495445393,-15.431755120318678,-15.40291993964602,-28.12637129718642,-19.519135745507064,4.745630857576236,18,-16.849181919684806,-14.396889486956125,-12.311099487518371,-11.132872170868694,-13.72096386643312,-10.658845232781305,-13.808234386459516,-11.1382213554477,-10.297108664866077,-19.026350159904037,-13.333976673091973,2.7084243142309186,63,19.519135745507064,4.745630857576236,13.333976673091973,2.7084243142309186,0.28552341659893604,0.17523928935968547
GTB,10,20000,56.457966383298235,0.252021861076355,0.005721633401595679,0.0031898975372314452,0.00048258499125609726,0.03,squared_error,2,1,100,1.0,"{'learning_rate': 0.03, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.011970972347704834,0.1968737204778339,0.03604145021009442,0.5500197603161665,0.07584052831126598,0.30017855628776413,0.39783831690508353,0.41214190961051445,0.49575650603125576,0.31661404277033534,0.2769333818572609,0.1859614222877268,26,-27.94681661906217,-19.45103650625676,-20.61965259377447,-15.10216438039485,-18.301464017287877,-16.986178933690574,-20.258221200954583,-15.571371489556611,-14.672853855427183,-26.330605297077398,-19.524036489348244,4.308865579277737,19,-17.937387809295366,-13.96677440597627,-13.51534423528155,-11.374905106663505,-14.234739556417534,-12.218955284232491,-13.862123919835486,-11.293199214126025,-10.733279333630811,-18.66796495835383,-13.780467382381286,2.5530875311962915,139,19.524036489348244,4.308865579277737,13.780467382381286,2.5530875311962915,0.2769333818572609,0.1859614222877268
GTB,10,20000,56.457966383298235,0.710771107673645,0.10002775526704231,0.00414431095123291,0.0006646905876929591,0.1,huber,3,5,100,1.0,"{'learning_rate': 0.1, 'loss': 'huber', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 1.0}",-0.029755943858528422,0.1336535778923731,-0.028546749194597654,0.5761449748629612,-0.06786380531893554,0.47150633773704753,0.38252823883649334,0.46247588404248063,0.5003471154861678,0.3102077046992645,0.27106973351847263,0.23461249224773076,31,-28.191323894182794,-20.202104979316005,-21.299243668505735,-14.657204252861456,-19.672987052387477,-14.76121016181329,-20.51413932898478,-14.88982497892926,-14.605910653568756,-26.45373430956649,-19.524768328011604,4.688183587437643,20,-16.100017039457487,-14.094556209608667,-13.92594348460752,-10.293590718530927,-14.91478279690571,-10.311419524084542,-13.299402911516784,-10.651649913258758,-9.508772318449989,-17.571458258610985,-13.067159317503137,2.617846967259921,9,19.524768328011604,4.688183587437643,13.067159317503137,2.617846967259921,0.27106973351847263,0.23461249224773076
