algorithm,fixed_spatial_folds,fixed_block_size_m,search_runtime_minutes,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,split5_test_RMSE,split6_test_RMSE,split7_test_RMSE,split8_test_RMSE,split9_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,split5_test_MAE,split6_test_MAE,split7_test_MAE,split8_test_MAE,split9_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_CV_RMSE,std_CV_RMSE,mean_CV_MAE,std_CV_MAE,mean_CV_R2,std_CV_R2
RF,10,20000,83.5958689292272,2.8864384651184083,0.6661103326047967,0.14962379932403563,0.007207700921291875,True,40,0.5,1,500,"{'bootstrap': True, 'max_depth': 40, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 500}",0.06542635134279684,0.21447516457026294,0.21627598507861345,0.5810417545352442,0.18159294477187538,0.43663505546323567,0.20197517084768846,0.5432414442326494,0.5831008885924349,0.3420279173275039,0.33657926767623053,0.17841808757461355,11,-26.856850600974735,-19.236709680725376,-18.59232666950644,-14.572291252359392,-17.222534173040213,-15.240421609791861,-23.3213105648483,-13.725682910898325,-13.341661722352445,-25.836373328945225,-18.79461625134423,4.7294171188909795,10,-18.108061538461534,-13.267861538461549,-12.029502564102556,-11.19257948717949,-13.463538461538452,-10.62532631578947,-15.320731578947363,-10.321621052631583,-9.23913684210527,-18.603247368421062,-13.217160674763832,3.0635765651321796,4,18.79461625134423,4.7294171188909795,13.217160674763832,3.0635765651321796,0.33657926767623053,0.17841808757461355
RF,10,20000,83.5958689292272,5.78535840511322,1.1801789436391221,0.28643455505371096,0.011492755788329626,True,,0.5,1,1000,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 1000}",0.06715056231753525,0.20243838108383772,0.22555003945602747,0.5795966306297229,0.17056679226821458,0.440161750488437,0.20767632757392263,0.5448210973143504,0.5807108590327341,0.3431279545235425,0.33618003946883246,0.17885249750111276,14,-26.832064831317986,-19.383533698212613,-18.481994856651202,-14.597401914680514,-17.338163033475723,-15.192643787650024,-23.237856541637772,-13.701927914290756,-13.379850092838954,-25.814766895075884,-18.796020356583142,4.712082894398477,12,-18.032402564102565,-13.366635897435904,-12.128623076923066,-11.271274358974363,-13.533082051282044,-10.573578947368427,-15.340686842105272,-10.32570526315788,-9.19653684210527,-18.556481578947366,-13.232500742240216,3.0464717944216337,6,18.796020356583142,4.712082894398477,13.232500742240216,3.0464717944216337,0.33618003946883246,0.17885249750111276
RF,10,20000,83.5958689292272,5.751513075828552,1.1513417629113971,0.29658777713775636,0.01415986871329876,True,40,0.5,1,1000,"{'bootstrap': True, 'max_depth': 40, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 1000}",0.06715056231753536,0.20243838108383772,0.22555003945602747,0.5795966306297229,0.17056679226821458,0.4401617504884371,0.20767632757392263,0.5448210973143505,0.5807108590327341,0.3431279545235425,0.33618003946883246,0.17885249750111273,14,-26.832064831317986,-19.383533698212613,-18.481994856651202,-14.597401914680514,-17.338163033475723,-15.192643787650024,-23.237856541637772,-13.701927914290756,-13.379850092838954,-25.814766895075884,-18.796020356583142,4.712082894398477,12,-18.032402564102565,-13.366635897435904,-12.128623076923066,-11.271274358974363,-13.533082051282044,-10.573578947368429,-15.340686842105272,-10.32570526315788,-9.19653684210527,-18.556481578947363,-13.232500742240216,3.0464717944216333,6,18.796020356583142,4.712082894398477,13.232500742240216,3.0464717944216333,0.33618003946883246,0.17885249750111273
RF,10,20000,83.5958689292272,2.566361141204834,0.6825179653154441,0.2876353979110718,0.02516643819692251,True,,sqrt,2,1000,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 1000}",0.05778566554655162,0.21759772425406498,0.2017410139755329,0.5623126594352866,0.1727667040069798,0.4514638222673013,0.24046787353725474,0.5307177871238691,0.5783218589344644,0.3487331587403022,0.3361908267821607,0.17509005380910825,12,-26.966412349151184,-19.19843744249652,-18.763941578944433,-14.894449780146479,-17.31515469899727,-15.03850656425634,-22.751908086221526,-13.9125796236037,-13.417913398119584,-25.704389960456243,-18.79636934823933,4.632483618686158,14,-17.85119898789956,-13.51014554001555,-12.231275653605653,-11.452987561975066,-13.504906283004749,-10.636856335221793,-14.817351404553055,-10.723512245576059,-9.402793442383636,-18.470532014031278,-13.260155946826643,2.8860511087473406,19,18.79636934823933,4.632483618686158,13.260155946826643,2.8860511087473406,0.3361908267821607,0.17509005380910825
RF,10,20000,83.5958689292272,2.5944172382354735,0.6716783099177728,0.2949272394180298,0.00941011685379006,True,40,sqrt,2,1000,"{'bootstrap': True, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 1000}",0.05778566554655162,0.21759772425406487,0.2017410139755329,0.5623126594352866,0.1727667040069798,0.4514638222673011,0.24046787353725474,0.530717787123869,0.5783218589344644,0.3487331587403022,0.3361908267821607,0.17509005380910822,12,-26.966412349151184,-19.198437442496523,-18.763941578944433,-14.894449780146479,-17.31515469899727,-15.038506564256341,-22.751908086221526,-13.912579623603701,-13.417913398119584,-25.704389960456243,-18.79636934823933,4.632483618686157,14,-17.85119898789956,-13.510145540015547,-12.231275653605653,-11.452987561975066,-13.504906283004747,-10.636856335221795,-14.817351404553055,-10.72351224557606,-9.402793442383636,-18.470532014031278,-13.260155946826643,2.8860511087473406,19,18.79636934823933,4.632483618686157,13.260155946826643,2.8860511087473406,0.3361908267821607,0.17509005380910822
RF,10,20000,83.5958689292272,2.582153344154358,0.669822264602864,0.28605754375457765,0.012456905441651393,True,20,sqrt,2,1000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 1000}",0.05739682733863072,0.21555164305618635,0.20391074162559397,0.5627409418803839,0.1723326533079339,0.45294159755365904,0.23969313783622104,0.5289410008458011,0.5793896393930653,0.34740795704665606,0.33603061398841316,0.17530510238001817,16,-26.971976099075604,-19.223524226530362,-18.738423328448444,-14.887160795484398,-17.319696748638492,-15.018235776126662,-22.76350879555992,-13.938892496539381,-13.40091409718488,-25.730528394355993,-18.79928607579441,4.639933429144326,16,-17.85893353616611,-13.513503295118388,-12.202338087955955,-11.443009567010641,-13.518777628885806,-10.616036266852124,-14.828007091088265,-10.75139552610401,-9.39353092657342,-18.508762010524425,-13.263429393627913,2.897287997481815,21,18.79928607579441,4.639933429144326,13.263429393627913,2.897287997481815,0.33603061398841316,0.17530510238001817
RF,10,20000,83.5958689292272,2.8023603916168214,0.7665732734913894,0.14744415283203124,0.006668631159193993,True,20,0.5,1,500,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 500}",0.06526381299211759,0.21583939830413323,0.21992353276649745,0.5795485940779634,0.16274860931259094,0.4346871833211219,0.18458238324395126,0.5504828228712078,0.5932753415726764,0.34051668813628866,0.3346868366598549,0.1831407806714777,20,-26.859185932398418,-19.219998068745095,-18.54901072698219,-14.598235862353512,-17.419685570695982,-15.26674626538792,-23.574082303613945,-13.616445810106057,-13.17785400430557,-25.86602678147538,-18.814727132606407,4.77943543424874,17,-18.133653935657833,-13.27346916855657,-12.116166900578635,-11.260419501290182,-13.637587900192088,-10.63936691120937,-15.471207133568816,-10.200281611208268,-9.275951344936766,-18.678555513997036,-13.268665992119557,3.0911745501974415,25,18.814727132606407,4.77943543424874,13.268665992119557,3.0911745501974415,0.3346868366598549,0.1831407806714777
RF,10,20000,83.5958689292272,5.757113790512085,1.148128690793509,0.28159122467041015,0.0141119572236461,True,20,0.5,1,1000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 1000}",0.06814144964424351,0.19977529344148437,0.22657533417217346,0.5784107907774436,0.1596133960674082,0.4366995402852287,0.1965537860186608,0.5446868869591095,0.5925366078890044,0.339983875855846,0.3342976961110603,0.1819582758668013,21,-26.8178103245895,-19.415867896168137,-18.469756643337426,-14.617975003035939,-17.452270405467427,-15.239549347496538,-23.400393187881562,-13.703947785014355,-13.189816038147958,-25.876473561509926,-18.818386019264878,4.7480183306497645,18,-18.073088503398438,-13.373912079938137,-12.10971291233234,-11.299420033127987,-13.624254132227856,-10.637196003750251,-15.438601615585958,-10.284767133653148,-9.164452737840241,-18.584242252143927,-13.258964740399827,3.0671971047936313,18,18.818386019264878,4.7480183306497645,13.258964740399827,3.0671971047936313,0.3342976961110603,0.1819582758668013
RF,10,20000,83.5958689292272,5.001246500015259,1.0032135228789738,0.565895938873291,0.040019757224905625,True,20,sqrt,2,2000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 2000}",0.05644119380484358,0.22181091502959094,0.19612030044203355,0.5542536042873216,0.18191235860310173,0.450053391309287,0.2399267458010539,0.5276924092342653,0.5707743152773508,0.349567138135637,0.33485523719244853,0.17216573647029182,17,-26.985645051175602,-19.14667643109268,-18.829886178039033,-15.030948673176338,-17.219172977381483,-15.057828132240244,-22.760011427743905,-13.9573535245223,-13.537463268414514,-25.68792681708823,-18.821291248087434,4.605439021565594,19,-17.81481904044033,-13.484344472460775,-12.303548736638986,-11.538514730587119,-13.437510892253181,-10.569402878211134,-14.841407658862348,-10.705406878599936,-9.455014093004946,-18.515663139180045,-13.26656325202388,2.8822234246450686,22,18.821291248087434,4.605439021565594,13.26656325202388,2.8822234246450686,0.33485523719244853,0.17216573647029182
RF,10,20000,83.5958689292272,5.265595006942749,1.0284559147616277,0.5769603490829468,0.02870321275080069,True,40,sqrt,2,2000,"{'bootstrap': True, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 2000}",0.05651876682511758,0.22228250806181282,0.19601860036143426,0.5540670409250903,0.1823479699081927,0.4493213800947897,0.2377357972803913,0.527894307740087,0.5707061519253978,0.35092010989626266,0.3347812633018576,0.1721668228518204,19,-26.98453573980883,-19.140873980393657,-18.831077239574377,-15.034093881964667,-17.214587976456308,-15.067846226201922,-22.792791248296318,-13.954370013255115,-13.538538136804613,-25.661196055154303,-18.82199104979101,4.603314091069535,20,-17.80818391476046,-13.4843193892219,-12.319035610511277,-11.535937853812865,-13.4354052298236,-10.577119227647353,-14.850517807254876,-10.708568450862009,-9.460726476403712,-18.491525779410644,-13.267133973970868,2.875153888184078,23,18.82199104979101,4.603314091069535,13.267133973970868,2.875153888184078,0.3347812633018576,0.1721668228518204
